passenger_id,flight_callsign,name,nationality,date_of_birth,seat,booking_class,status,check_in_time,luggage_count,special_assistance,frequent_flyer_tier
PAX00921,DAL102,Angela Harvey,Guadeloupe,1999-04-02,27E,First,No-show,2026-02-03T17:14:43,1,Pet,None
PAX00922,BAW8807,Robert Crawford,Lebanon,1946-05-21,30F,Premium Economy,No-show,2026-02-03T06:56:21,2,Unaccompanied Minor,Silver
PAX00923,KLM3225,Megan Dunn,Nepal,1983-06-04,11B,First,Checked-in,2026-02-01T18:34:08,1,Unaccompanied Minor,Platinum
PAX00924,KLM128,Donald Hansen,Palau,2006-06-26,33B,Business,No-show,2026-02-03T10:45:24,0,Pet,Platinum
PAX00925,SWA4489,Katherine Douglas,Pakistan,1946-12-03,39B,Business,No-show,2026-02-02T12:14:16,0,Unaccompanied Minor,Silver
PAX00926,SWA8236,Destiny Porter,Iran,1990-07-22,32B,Premium Economy,Scheduled,2026-02-02T02:40:35,3,Wheelchair,Platinum
PAX00927,UAL7214,James Cooper,Switzerland,1975-01-09,11D,Premium Economy,Checked-in,2026-02-02T15:52:59,3,Unaccompanied Minor,Silver
PAX00928,KLM8543,Tammy Torres,Denmark,1979-01-29,11F,First,Scheduled,2026-02-01T17:20:53,1,None,Gold
PAX00929,SWA5090,Nathan Dennis,Heard Island and McDonald Islands,1962-03-29,33F,Economy,Boarded,2026-02-03T12:09:46,0,Pet,None
PAX00930,AAL8737,Austin Lopez,Colombia,1950-08-25,16A,Premium Economy,Scheduled,2026-02-03T05:03:27,1,None,Platinum
PAX00931,AFR8750,Ariel Rogers,Morocco,1961-05-06,22E,Premium Economy,Checked-in,2026-02-03T11:39:52,1,Unaccompanied Minor,Silver
PAX00932,KLM9891,Michael Ewing,Greece,1953-03-23,8F,Economy,No-show,2026-02-02T07:30:40,0,Pet,None
PAX00933,AAL7593,Andrew Evans,Guinea-Bissau,1969-06-13,40A,First,Boarded,2026-02-03T17:32:59,2,Wheelchair,Gold
PAX00934,SWA7236,William Stephens,Equatorial Guinea,1989-09-17,2B,First,Scheduled,2026-02-03T02:28:57,2,Pet,Silver
PAX00935,UAL304,Brittany May,Pakistan,2006-09-11,23A,Business,Checked-in,2026-02-01T05:24:54,1,Unaccompanied Minor,Silver
PAX00936,DAL5754,Jessica Wilson,Sao Tome and Principe,1981-02-20,20D,Business,Boarded,2026-02-02T05:49:40,1,Wheelchair,None
PAX00937,UAL9185,Justin Lopez,Jordan,2000-04-24,4C,Premium Economy,Checked-in,2026-02-02T07:18:27,2,Wheelchair,None
PAX00938,DAL1340,Melissa Mueller,Cambodia,1948-10-22,5F,Economy,Checked-in,2026-02-01T03:42:17,1,Unaccompanied Minor,Silver
PAX00939,DLH2926,Yesenia Adams,Macao,2003-09-10,10C,First,No-show,2026-02-02T07:53:18,3,None,None
PAX00940,SWA923,Richard Reyes,Saint Pierre and Miquelon,1977-12-07,38B,Business,No-show,2026-02-01T13:01:29,1,None,Silver
PAX00941,DLH1408,Nicole Gallagher,Dominican Republic,1976-03-01,17C,Business,Boarded,2026-02-03T05:45:04,2,Pet,None
PAX00942,AFR7043,Jason Patterson,Jersey,1994-01-02,14A,First,No-show,2026-02-02T06:58:21,3,Wheelchair,Gold
PAX00943,AAL5922,Edward Torres,Germany,1945-03-29,33E,First,No-show,2026-02-02T23:45:16,3,Pet,Silver
PAX00944,SWA3297,Crystal Brooks,Costa Rica,1995-10-12,24C,Business,Boarded,2026-02-03T09:02:55,3,Pet,Platinum
PAX00945,KLM3395,Douglas Burgess,Tajikistan,1998-10-16,32D,Business,Scheduled,2026-02-02T16:15:15,1,Unaccompanied Minor,Gold
PAX00946,DLH2957,Samuel Martinez,Philippines,1995-05-14,17F,Economy,No-show,2026-02-01T20:42:43,3,None,Platinum
PAX00947,UAL9558,Stephanie Davis,Guyana,1947-12-19,22B,Business,Boarded,2026-02-02T20:01:37,3,Wheelchair,Silver
PAX00948,SWA3297,Jasmine Salazar,Ethiopia,1971-07-25,18B,First,Scheduled,2026-02-03T00:55:45,2,Wheelchair,Gold
PAX00949,DLH5960,Kelly Hall,Singapore,1995-04-17,21E,Economy,Checked-in,2026-02-03T14:55:29,0,None,Platinum
PAX00950,DAL800,Nicholas Brown,Mexico,1991-07-26,16C,Economy,Boarded,2026-02-02T06:45:56,3,None,Gold
PAX00951,DLH3784,Daniel Rhodes,Mexico,1972-07-24,8D,First,No-show,2026-02-02T07:41:32,2,None,None
PAX00952,AAL2731,Mikayla Lee,Faroe Islands,1961-07-20,17E,First,No-show,2026-02-01T15:14:03,1,Pet,Silver
PAX00953,AFR3348,Angela Fernandez,Sweden,1988-06-26,40D,First,Boarded,2026-02-02T10:49:50,0,Wheelchair,Platinum
PAX00954,UAL3311,Brandon Miller,Andorra,1992-05-02,34A,Premium Economy,Boarded,2026-02-01T15:44:26,1,Wheelchair,None
PAX00955,DLH2352,Rita Williams,Aruba,2001-03-12,36B,Premium Economy,No-show,2026-02-01T18:47:21,2,Unaccompanied Minor,None
PAX00956,UAL5258,Emily Holmes,Timor-Leste,1979-08-11,20C,Business,Boarded,2026-02-02T08:37:15,1,None,Gold
PAX00957,SWA1893,Christopher Williams,Cape Verde,1969-07-11,16A,First,Boarded,2026-02-01T03:42:47,2,Wheelchair,Gold
PAX00958,AAL2809,Christine Kennedy,Guatemala,2006-09-10,9A,Business,Boarded,2026-02-03T18:35:09,0,Wheelchair,Platinum
PAX00959,DAL7028,Crystal Hill,Anguilla,1990-05-18,2D,Economy,Boarded,2026-02-01T07:19:01,3,None,None
PAX00960,AFR5148,Michael Mcguire,Djibouti,1961-06-29,2A,Premium Economy,Checked-in,2026-02-01T22:13:27,1,Pet,Gold
PAX00961,AFR9162,Amy Gonzalez,Austria,1948-03-21,7D,Business,Boarded,2026-02-01T17:28:08,3,None,Gold
PAX00962,UAL340,Donald Novak,Burkina Faso,1947-12-12,20A,Business,No-show,2026-02-03T08:34:44,1,Wheelchair,Platinum
PAX00963,UAL798,Robert Escobar,Papua New Guinea,1976-03-13,7D,First,No-show,2026-02-02T06:37:47,3,Wheelchair,Silver
PAX00964,SWA8236,Jesse Calderon,Turkmenistan,2003-06-05,14D,First,No-show,2026-02-02T19:40:07,1,Pet,None
PAX00965,AAL5428,Douglas Barnett,Tunisia,1987-09-27,24A,Economy,No-show,2026-02-02T21:21:38,3,Unaccompanied Minor,Gold
PAX00966,UAL8040,Stanley Zimmerman,Israel,1969-12-01,21F,Business,Scheduled,2026-02-02T16:18:01,1,Unaccompanied Minor,None
PAX00967,KLM1805,Regina Lara,Martinique,1972-05-10,7A,First,Checked-in,2026-02-02T22:06:15,0,None,None
PAX00968,BAW5712,Robert Lane,Burundi,1951-02-15,25B,Economy,Scheduled,2026-02-01T17:24:56,1,Pet,Gold
PAX00969,DLH9634,Karen Stevens,Comoros,1980-07-25,31E,Premium Economy,No-show,2026-02-03T11:03:30,1,Wheelchair,Silver
PAX00970,DLH1373,Janice Green,Somalia,1970-04-18,4A,First,No-show,2026-02-03T11:53:19,1,Pet,Silver
PAX00971,AFR2502,Tony Lopez,Mayotte,1997-10-27,26A,Premium Economy,Boarded,2026-02-03T10:30:52,2,Wheelchair,Silver
PAX00972,KLM6243,Tracie Farmer,Kyrgyz Republic,1997-03-11,23B,Economy,No-show,2026-02-01T08:11:14,0,Unaccompanied Minor,Gold
PAX00973,UAL5417,Dawn Davis,Algeria,1989-10-11,35C,Economy,Checked-in,2026-02-01T17:20:11,2,None,Gold
PAX00974,SWA8992,George Harris,Sweden,1960-09-01,27C,Economy,Boarded,2026-02-02T02:29:35,2,Wheelchair,Platinum
PAX00975,UAL5398,Tracey Carter,Saint Martin,1954-10-02,9E,Premium Economy,Checked-in,2026-02-02T17:59:00,3,None,Silver
PAX00976,AAL7894,Casey Harris,Greenland,1949-05-12,13C,First,No-show,2026-02-01T02:06:42,0,Unaccompanied Minor,Platinum
PAX00977,BAW3531,Katherine Mullins,Pakistan,1998-11-19,5D,Business,Checked-in,2026-02-03T00:36:54,1,Unaccompanied Minor,None
PAX00978,AAL4076,Amanda Rivera,Barbados,1990-11-18,16A,Economy,No-show,2026-02-02T19:06:17,2,Wheelchair,None
PAX00979,DAL5754,Chad Mcdonald,Benin,1992-03-12,4F,Premium Economy,No-show,2026-02-02T19:35:37,2,None,Silver
PAX00980,SWA5881,Nicolas Coleman,Russian Federation,1974-12-07,34E,Business,Scheduled,2026-02-02T08:21:08,3,None,Platinum
PAX00981,AFR8935,David Raymond,Sao Tome and Principe,1998-10-30,3D,Business,Boarded,2026-02-03T13:12:21,1,Wheelchair,None
PAX00982,DLH2957,Jerry Porter,Thailand,1998-09-12,35B,Premium Economy,No-show,2026-02-01T18:50:29,0,Unaccompanied Minor,Platinum
PAX00983,KLM2887,Mason Flores,Antigua and Barbuda,2002-08-28,15B,Economy,Boarded,2026-02-01T22:08:51,2,Pet,Silver
PAX00984,AAL8737,Christopher Young,Equatorial Guinea,1994-07-09,25B,First,No-show,2026-02-03T09:33:03,3,Unaccompanied Minor,Gold
PAX00985,DLH2696,Audrey Nguyen,Italy,1970-12-15,2A,First,No-show,2026-02-02T01:51:42,1,None,Silver
PAX00986,DLH7922,Joseph Kim,Zimbabwe,1997-11-01,21D,Economy,Checked-in,2026-02-01T18:03:59,2,None,None
PAX00987,BAW6794,Jennifer Erickson,Kiribati,1966-09-02,37A,Business,No-show,2026-02-02T23:55:39,1,Unaccompanied Minor,Platinum
PAX00988,KLM6202,Marissa Hernandez,Saint Helena,1951-11-14,24A,Business,Scheduled,2026-02-01T05:48:36,3,None,Platinum
PAX00989,UAL3242,Mrs. Olivia Rojas,Taiwan,1999-08-02,38E,Economy,Boarded,2026-02-01T04:19:38,1,Wheelchair,Silver
PAX00990,DLH459,Jennifer Jenkins,Lebanon,1997-07-02,36F,Economy,Boarded,2026-02-01T20:25:29,1,Pet,None
PAX00991,AAL2003,Robin Doyle DDS,Tunisia,1959-12-02,7E,Premium Economy,No-show,2026-02-02T16:23:50,0,None,None
PAX00992,AFR2557,Gloria Smith,Guernsey,2004-04-07,31D,First,No-show,2026-02-02T01:27:20,0,Pet,Gold
PAX00993,DAL7899,Leah Edwards,Micronesia,1964-04-18,18C,Economy,Scheduled,2026-02-03T01:06:12,0,Unaccompanied Minor,Silver
PAX00994,BAW9214,Robert Brown,Vanuatu,1991-12-04,30B,First,Checked-in,2026-02-02T12:04:05,3,Wheelchair,Gold
PAX00995,DLH9680,Crystal Wilson,Zambia,1954-08-28,38E,Premium Economy,No-show,2026-02-01T16:03:06,3,None,Gold
PAX00996,UAL6112,Derek Singleton,Timor-Leste,2002-11-07,19F,Premium Economy,Boarded,2026-02-02T20:02:00,0,None,Silver
PAX00997,KLM4258,Melanie Mckinney,Italy,1981-04-15,1C,Premium Economy,Boarded,2026-02-01T19:50:00,2,None,None
PAX00998,DAL6044,Catherine Bishop,Tunisia,1986-02-11,39F,Business,Boarded,2026-02-03T18:20:09,0,None,Gold
PAX00999,AFR8532,Ryan English,Saint Kitts and Nevis,1996-10-19,2B,Business,Scheduled,2026-02-02T20:37:04,3,Pet,Platinum
PAX01000,DLH3311,Matthew Anderson,Saint Helena,1996-10-06,17A,Premium Economy,Checked-in,2026-02-01T04:37:40,0,Pet,Gold
PAX01001,DLH8190,Latoya Cordova,Iraq,1957-09-30,39F,First,Scheduled,2026-02-03T18:56:28,0,Pet,Silver
PAX01002,DLH1408,Johnathan Little,Argentina,1959-07-16,12B,Premium Economy,Boarded,2026-02-03T02:22:28,0,Wheelchair,Platinum
PAX01003,BAW7659,Benjamin Smith,Bahrain,1992-12-26,20E,Economy,No-show,2026-02-02T00:46:47,3,Wheelchair,Platinum
PAX01004,DAL6167,Michael Pham,Benin,2002-06-21,11E,First,Scheduled,2026-02-03T08:43:03,3,Pet,Silver
PAX01005,DLH1373,Robert Burke DVM,Guadeloupe,1946-12-07,15A,Economy,No-show,2026-02-01T05:03:32,2,Pet,Platinum
PAX01006,KLM7669,Monica Levine,Canada,1961-11-26,37A,Business,Scheduled,2026-02-03T18:47:02,0,Unaccompanied Minor,None
PAX01007,KLM6988,Nicole Coffey,British Indian Ocean Territory (Chagos Archipelago),1998-01-16,18C,Business,Scheduled,2026-02-01T12:02:38,2,Pet,Platinum
PAX01008,KLM5084,Glenn Conner,Montserrat,1997-05-18,21A,Business,Scheduled,2026-02-03T13:38:31,3,Wheelchair,Gold
PAX01009,AAL4510,Benjamin Campbell,Estonia,1961-09-13,14C,Economy,Boarded,2026-02-02T19:22:51,2,Unaccompanied Minor,Gold
PAX01010,DLH8145,Nicholas Massey,Sao Tome and Principe,1987-10-04,36A,First,Boarded,2026-02-03T04:00:50,3,Unaccompanied Minor,Platinum
PAX01011,DAL4982,Kimberly Arias,Isle of Man,1970-09-23,21A,Premium Economy,Boarded,2026-02-03T03:38:47,2,Pet,Gold
PAX01012,AAL8737,Jesus Simpson,Guadeloupe,1958-03-08,24F,Economy,Scheduled,2026-02-03T15:42:14,2,None,Gold
PAX01013,DLH5909,Steven Cisneros,Sierra Leone,2005-12-04,10D,Premium Economy,Scheduled,2026-02-03T09:31:54,3,Wheelchair,None
PAX01014,UAL8348,Jennifer Gonzalez,Montenegro,1949-08-16,26C,Business,Checked-in,2026-02-03T18:32:00,3,None,Platinum
PAX01015,KLM4284,Holly Taylor,New Zealand,1958-06-03,8B,Economy,No-show,2026-02-03T01:50:40,2,None,Platinum
PAX01016,AAL930,Victoria Johnson,Saudi Arabia,2003-04-29,21E,Premium Economy,Scheduled,2026-02-01T10:32:07,2,None,None
PAX01017,DAL7468,Seth Shelton,Belgium,1951-01-31,28F,First,Scheduled,2026-02-02T07:50:53,2,None,None
PAX01018,DAL9870,John Gonzales,Timor-Leste,1997-10-05,37F,Economy,Checked-in,2026-02-02T12:40:39,0,Wheelchair,Platinum
PAX01019,AFR3118,Chad Ayers,Israel,1973-08-08,29A,First,Checked-in,2026-02-03T15:51:06,0,None,Gold
PAX01020,UAL9673,Kristy Clark,Gibraltar,1967-06-05,27E,Business,Checked-in,2026-02-02T15:37:19,1,Wheelchair,Silver
PAX01021,AFR3283,Samuel Caldwell,Faroe Islands,1988-01-11,19C,First,No-show,2026-02-01T09:44:12,0,Unaccompanied Minor,Platinum
PAX01022,SWA880,Debbie Barrett,Dominica,1991-09-29,26B,Economy,No-show,2026-02-01T21:55:34,1,Unaccompanied Minor,Platinum
PAX01023,KLM8964,Jason Werner,Haiti,1973-04-17,26D,Economy,Boarded,2026-02-03T02:37:19,2,Unaccompanied Minor,Silver
PAX01024,BAW1913,Sara Hancock,Bermuda,1954-10-31,2D,Premium Economy,Checked-in,2026-02-02T12:09:20,2,Unaccompanied Minor,Platinum
PAX01025,SWA8226,Nicholas Mathews,Haiti,1950-11-23,4A,First,Boarded,2026-02-02T07:38:04,0,Wheelchair,Gold
PAX01026,DLH112,Jessica Alvarez,Pitcairn Islands,2005-08-28,35D,Business,Checked-in,2026-02-02T10:02:13,1,Pet,Platinum
PAX01027,DLH8060,Paul Gallegos,Ukraine,1956-09-22,24C,First,Boarded,2026-02-03T03:37:15,1,None,Silver
PAX01028,AFR6060,Mary Elliott,Cyprus,1970-07-30,31B,Premium Economy,Boarded,2026-02-01T04:11:43,0,Pet,Platinum
PAX01029,AAL4076,James Humphrey,Wallis and Futuna,1951-10-08,38A,First,Checked-in,2026-02-01T17:01:30,0,Pet,None
PAX01030,AAL1527,Nancy Branch,Panama,1976-10-01,10A,Premium Economy,No-show,2026-02-02T03:39:02,0,Unaccompanied Minor,Platinum
PAX01031,UAL6112,Samuel Adams,Mayotte,1999-05-26,18C,Business,Checked-in,2026-02-01T20:56:57,1,None,Platinum
PAX01032,SWA4379,Kayla Jones,Brunei Darussalam,1959-01-29,36C,First,No-show,2026-02-02T13:39:06,0,Pet,Gold
PAX01033,BAW4202,Catherine Howard,Maldives,1946-12-21,8F,Premium Economy,Scheduled,2026-02-02T22:08:09,0,None,Gold
PAX01034,KLM5213,Robert Arnold,Hungary,1986-07-29,22A,Premium Economy,No-show,2026-02-03T12:17:29,3,None,Gold
PAX01035,KLM7565,Kimberly Harris,Sudan,1955-07-10,19B,Premium Economy,Scheduled,2026-02-03T06:57:56,3,None,Gold
PAX01036,SWA5103,Joshua Craig,Greece,1978-04-14,33C,Economy,Boarded,2026-02-01T18:34:43,1,Wheelchair,Gold
PAX01037,AFR6670,Jose Ellis,Pakistan,1994-10-27,29F,Business,No-show,2026-02-02T15:10:42,2,None,Silver
PAX01038,SWA3297,Sandra Murphy,Colombia,1963-02-21,38D,Premium Economy,Scheduled,2026-02-02T08:24:51,1,None,None
PAX01039,SWA5881,Kenneth Hamilton,Antigua and Barbuda,1983-02-02,35A,Business,Checked-in,2026-02-02T14:34:51,1,Pet,Platinum
PAX01040,AAL1402,Joshua Marshall,Kenya,1997-11-07,19F,Premium Economy,Scheduled,2026-02-03T04:21:52,2,Pet,Platinum
PAX01041,AAL2925,Judy Day,Qatar,1985-04-05,32C,Business,No-show,2026-02-03T02:02:49,3,Unaccompanied Minor,None
PAX01042,DLH5519,Mark Zuniga,Vanuatu,1958-07-23,1C,First,Boarded,2026-02-01T13:07:13,2,Pet,Silver
PAX01043,KLM314,Kristy Howard,Samoa,1955-08-18,2F,Business,Scheduled,2026-02-03T17:54:20,0,Pet,None
PAX01044,AAL2753,Jessica Pierce,Iraq,1963-03-24,8B,First,Scheduled,2026-02-01T16:32:14,1,None,Platinum
PAX01045,AAL2925,Michelle Terry,Comoros,1954-05-23,5F,First,No-show,2026-02-02T00:14:55,2,Pet,Platinum
PAX01046,DLH3364,Michelle Garcia,United States of America,1960-03-31,19E,Business,Checked-in,2026-02-03T15:29:11,2,Unaccompanied Minor,Gold
PAX01047,BAW1143,Tyler Mccann,United States Virgin Islands,2005-05-23,18B,Business,Checked-in,2026-02-01T05:33:49,2,Wheelchair,None
PAX01048,SWA8469,Taylor Williams,Tunisia,1949-03-15,24E,Economy,Checked-in,2026-02-02T03:36:07,2,Pet,Platinum
PAX01049,DAL7028,David Hatfield,Denmark,1959-04-19,19F,Business,Scheduled,2026-02-01T04:12:46,1,Pet,Platinum
PAX01050,AFR6233,William Caldwell,Tonga,1973-06-09,27A,First,Checked-in,2026-02-02T21:46:01,0,Wheelchair,Platinum
PAX01051,AFR5548,Laura Coleman,Tajikistan,1968-07-25,28A,Economy,Boarded,2026-02-02T12:18:59,2,Pet,Silver
PAX01052,DAL323,William Meadows,Luxembourg,1974-09-01,12B,Economy,Scheduled,2026-02-03T13:57:03,2,Wheelchair,Platinum
PAX01053,AFR5341,Katherine Webb,India,1978-09-24,29A,Economy,Checked-in,2026-02-01T06:03:46,3,Wheelchair,Platinum
PAX01054,UAL819,Charles Walters,Fiji,1969-12-28,27D,Business,Boarded,2026-02-02T16:43:27,3,Pet,Silver
PAX01055,DAL2572,Cynthia Lucas,Mauritius,1990-09-21,8C,First,No-show,2026-02-02T08:01:49,1,Pet,Gold
PAX01056,BAW126,Steven Schultz,Portugal,1993-01-02,6C,Business,No-show,2026-02-01T17:24:39,1,None,None
PAX01057,AAL4486,Emily Williams,Lao People's Democratic Republic,1989-10-14,25C,Economy,Scheduled,2026-02-03T11:33:07,3,Unaccompanied Minor,Platinum
PAX01058,KLM3571,Lauren Diaz,Nauru,1969-06-28,30F,Business,Boarded,2026-02-02T19:01:54,0,Unaccompanied Minor,Gold
PAX01059,DLH3826,Joseph Cole,Suriname,1977-05-04,32E,Economy,Checked-in,2026-02-01T19:24:34,1,Unaccompanied Minor,None
PAX01060,AFR6442,Rhonda Moreno,Gibraltar,1994-08-05,17A,Premium Economy,Boarded,2026-02-03T08:52:04,1,Pet,Platinum
PAX01061,DLH5530,Zachary Rios,Tokelau,1983-04-28,24D,Economy,Checked-in,2026-02-02T19:24:34,3,Pet,Silver
PAX01062,AAL5329,Leah Wilson,Zimbabwe,1949-06-11,24F,Economy,No-show,2026-02-03T02:29:40,2,Wheelchair,None
PAX01063,DAL7674,Matthew Walton,Gambia,1958-09-15,11B,Economy,Scheduled,2026-02-02T07:55:54,1,Pet,Silver
PAX01064,DLH5960,Juan Kennedy,Russian Federation,1960-08-23,6E,Premium Economy,Scheduled,2026-02-01T14:11:20,1,Wheelchair,None
PAX01065,DAL7497,Larry Sweeney,British Virgin Islands,1984-06-24,16E,Premium Economy,Boarded,2026-02-02T02:22:49,3,Pet,None
PAX01066,KLM9960,James Robinson,Guyana,1976-07-28,27A,Economy,Checked-in,2026-02-01T13:24:38,2,Unaccompanied Minor,Platinum
PAX01067,DAL2399,Brooke Smith,Saint Kitts and Nevis,1979-05-28,22E,Economy,Checked-in,2026-02-03T20:01:46,0,Pet,Silver
PAX01068,KLM9236,Jennifer Johnson,France,1991-10-31,39E,First,Scheduled,2026-02-02T03:49:49,0,Pet,Gold
PAX01069,DLH8751,Shawn Kelley,Nicaragua,2001-08-08,24E,First,No-show,2026-02-03T08:59:13,1,Pet,Platinum
PAX01070,DLH9400,James Lee,French Polynesia,1994-07-25,7A,Premium Economy,Checked-in,2026-02-02T08:30:37,0,Wheelchair,Platinum
PAX01071,BAW9709,Melanie Dorsey,Germany,2006-01-23,22E,Premium Economy,Scheduled,2026-02-01T00:44:21,0,None,Silver
PAX01072,BAW165,Courtney Adams,New Zealand,1965-05-29,8D,First,Boarded,2026-02-02T12:56:34,3,Unaccompanied Minor,Platinum
PAX01073,SWA6682,Erin Fernandez,Bahamas,1954-01-07,17A,Premium Economy,Boarded,2026-02-01T19:24:17,1,None,Platinum
PAX01074,SWA4965,Olivia Mcmillan,Mauritania,1984-01-05,16E,First,Checked-in,2026-02-03T15:53:26,0,Wheelchair,Gold
PAX01075,SWA5045,Kathryn Calderon,Guernsey,1965-05-27,32F,Economy,Scheduled,2026-02-02T16:15:02,0,Unaccompanied Minor,Platinum
PAX01076,DLH4413,Richard Tran,Czech Republic,1988-04-26,26B,First,No-show,2026-02-02T07:25:39,3,Wheelchair,Silver
PAX01077,KLM7153,Jasmine King,Rwanda,1971-05-31,39A,First,Checked-in,2026-02-03T16:54:47,0,Unaccompanied Minor,None
PAX01078,AFR9162,Craig Lopez,United Arab Emirates,1989-09-26,5B,Premium Economy,Boarded,2026-02-01T08:23:53,1,Wheelchair,Platinum
PAX01079,AAL438,Alexandria Webb,Benin,1976-06-08,9F,Economy,No-show,2026-02-01T23:52:32,2,Unaccompanied Minor,Gold
PAX01080,DAL4704,Scott Bennett,Pitcairn Islands,1995-07-09,6C,Premium Economy,Checked-in,2026-02-03T17:47:25,3,Unaccompanied Minor,Gold
PAX01081,DAL681,Joanna King,Taiwan,1984-07-10,22C,Economy,Boarded,2026-02-02T13:17:13,2,Wheelchair,Gold
PAX01082,AAL8107,Lance Wagner,Angola,1950-06-27,22F,Economy,Boarded,2026-02-02T02:51:46,2,Pet,Silver
PAX01083,DAL5318,Karen Little,Guinea-Bissau,1981-03-17,34E,Premium Economy,Boarded,2026-02-01T11:31:16,1,Unaccompanied Minor,Silver
PAX01084,AFR7310,Ralph Davis,Benin,1998-02-13,29A,Economy,Scheduled,2026-02-03T12:48:16,1,Pet,Gold
PAX01085,AAL3726,Michelle Adams,Ireland,1959-01-27,15E,Business,Checked-in,2026-02-02T20:53:33,1,None,Platinum
PAX01086,DLH9680,Edgar Ortiz,Philippines,1964-03-08,37C,Economy,No-show,2026-02-03T18:58:28,0,Pet,Silver
PAX01087,DAL6167,Anna Singleton,Seychelles,1967-03-07,13C,Business,No-show,2026-02-01T03:04:41,0,Unaccompanied Minor,Silver
PAX01088,DLH2339,Nicole Rasmussen,Christmas Island,2003-10-17,20C,Economy,No-show,2026-02-02T06:46:41,3,Wheelchair,Gold
PAX01089,AFR4999,Ricardo Johnston,Guinea,1986-03-14,35C,First,Scheduled,2026-02-02T10:10:31,1,Unaccompanied Minor,Gold
PAX01090,AAL2459,Michael Watson,Nepal,1951-10-07,35B,Economy,Checked-in,2026-02-03T14:57:41,1,Unaccompanied Minor,Silver
PAX01091,DAL710,Sean Marshall,Oman,2001-01-22,19C,Premium Economy,Boarded,2026-02-02T09:43:41,0,Wheelchair,Gold
PAX01092,UAL2142,Rachel Bryant MD,Cameroon,1963-04-21,25B,Economy,Boarded,2026-02-03T18:00:29,1,Unaccompanied Minor,None
PAX01093,AAL6842,Randall Reyes,Equatorial Guinea,1998-07-31,26E,Economy,Boarded,2026-02-01T02:51:57,3,Pet,Silver
PAX01094,SWA5881,Robert Shaw,Qatar,1956-05-05,8E,Economy,No-show,2026-02-01T12:17:40,0,None,Platinum
PAX01095,BAW943,Mary Smith,Greece,1960-01-30,14B,Economy,No-show,2026-02-01T23:13:28,0,Wheelchair,None
PAX01096,AAL8192,Zachary Bradford,Namibia,1967-01-19,35F,Economy,Boarded,2026-02-03T03:51:15,3,Pet,None
PAX01097,BAW8810,Megan Edwards,Malawi,1997-03-29,21E,Economy,Checked-in,2026-02-03T13:30:03,1,None,None
PAX01098,KLM4119,Samantha Robinson,Estonia,1949-05-21,15B,Business,Scheduled,2026-02-01T21:13:33,0,None,None
PAX01099,KLM2210,Jonathan Wilkinson,Belize,1948-03-20,23D,Economy,Boarded,2026-02-01T22:53:33,0,Wheelchair,None
PAX01100,DAL1183,Abigail Knight,Benin,1992-07-29,5C,First,Scheduled,2026-02-01T07:57:05,0,Unaccompanied Minor,None
PAX01101,BAW4535,Drew Price,Maldives,1970-10-27,19A,Business,Boarded,2026-02-02T20:10:25,2,Wheelchair,None
PAX01102,DLH7145,Charles Crawford,Bahamas,1974-03-30,29E,Premium Economy,Boarded,2026-02-03T13:47:10,2,Wheelchair,Gold
PAX01103,AFR3794,Christopher Riley,French Guiana,1951-06-27,20B,Premium Economy,Checked-in,2026-02-01T14:42:33,2,None,Platinum
PAX01104,SWA5384,Lori Gutierrez,Moldova,1990-11-28,23F,First,Boarded,2026-02-01T02:03:09,0,None,None
PAX01105,KLM2602,Thomas Cross,Holy See (Vatican City State),1972-04-29,15F,First,Checked-in,2026-02-02T17:37:10,0,Wheelchair,Platinum
PAX01106,DAL8503,Grace Adams,Cayman Islands,1959-02-08,38B,Premium Economy,Scheduled,2026-02-03T19:20:57,2,Unaccompanied Minor,Platinum
PAX01107,UAL7789,Jesus Mcfarland,Nigeria,1979-08-05,1A,Economy,Boarded,2026-02-02T09:00:56,3,None,Silver
PAX01108,SWA4902,Judy Hayes,Djibouti,1959-11-17,15F,Business,Boarded,2026-02-01T19:10:43,0,Wheelchair,Silver
PAX01109,AFR8961,David Allen,Philippines,1963-09-07,9A,Business,No-show,2026-02-01T19:26:18,1,Wheelchair,Platinum
PAX01110,BAW978,Troy Reed,Korea,1995-12-20,4F,Economy,Scheduled,2026-02-01T16:02:37,0,Unaccompanied Minor,None
PAX01111,SWA5014,John Martinez,Nicaragua,1997-03-27,18D,Economy,Scheduled,2026-02-02T18:05:08,0,None,Gold
PAX01112,DLH3364,Raymond Green,New Caledonia,1969-08-11,3F,Business,Boarded,2026-02-01T15:24:08,0,Pet,None
PAX01113,DAL6395,Matthew Hawkins,Namibia,1963-10-04,2B,Premium Economy,Scheduled,2026-02-02T03:20:36,0,Wheelchair,Gold
PAX01114,AAL3687,April Davis,Saint Helena,1946-05-08,15A,First,Scheduled,2026-02-02T19:44:35,0,Unaccompanied Minor,None
PAX01115,SWA4769,Sherry Higgins,Tunisia,1994-04-26,1B,Economy,No-show,2026-02-01T15:45:06,2,Unaccompanied Minor,None
PAX01116,KLM1979,Matthew Taylor,Dominican Republic,1985-09-09,25A,First,Scheduled,2026-02-03T14:32:32,2,Pet,Platinum
PAX01117,KLM1979,Carolyn Martin,French Southern Territories,1972-07-22,20B,Economy,Checked-in,2026-02-01T06:56:13,3,Pet,Silver
